Velocity: x= -0.400000,  y= 0.000000, dist 4.630806, Mode: SingleBand, 
Velocity: x= -0.400000,  y= 0.000000, dist 4.701178, Mode: SingleBand, 
Velocity: x= -0.328235,  y= 0.000000, dist 4.704190, Mode: SingleBand, 
Velocity: x= -0.295885,  y= 0.000000, dist 4.734036, Mode: SingleBand, 
Velocity: x= -0.322493,  y= 0.000000, dist 4.791691, Mode: SingleBand, 
Velocity: x= -0.323031,  y= 0.000000, dist 4.821476, Mode: SingleBand, 
Velocity: x= -0.312933,  y= 0.000000, dist 4.877342, Mode: SingleBand, 
Velocity: x= -0.302161,  y= 0.000000, dist 4.877342, Mode: SingleBand, 
Velocity: x= -0.265118,  y= 0.000000, dist 4.931274, Mode: SingleBand, 
Velocity: x= -0.235862,  y= 0.000000, dist 4.955637, Mode: SingleBand, 
Velocity: x= -0.194355,  y= 0.000000, dist 4.955637, Mode: SingleBand, 
Velocity: x= 0.194354,  y= 0.000000, dist 4.974136, Mode: SingleBand, 
Velocity: x= 0.364766,  y= 0.000000, dist 4.940262, Mode: SingleBand, 
Velocity: x= 0.517045,  y= 0.000000, dist 4.906446, Mode: SingleBand, 
Velocity: x= 0.647957,  y= 0.000000, dist 4.852605, Mode: SingleBand, 
Velocity: x= 0.700000,  y= 0.000000, dist 4.852605, Mode: SingleBand, 
Velocity: x= 0.700000,  y= 0.000000, dist 4.728816, Mode: SingleBand, 
Velocity: x= 0.356893,  y= 0.000000, dist 4.606430, Mode: SingleBand, 
Velocity: x= 0.339112,  y= 0.000000, dist 4.573404, Mode: SingleBand, 
Velocity: x= 0.321255,  y= 0.000000, dist 4.537644, Mode: SingleBand, 
Velocity: x= 0.308479,  y= 0.000000, dist 4.480924, Mode: SingleBand, 
Velocity: x= 0.203873,  y= 0.000000, dist 4.453844, Mode: SingleBand, 
Velocity: x= -0.219257,  y= 0.000000, dist 4.439411, Mode: SingleBand, 
Velocity: x= -0.400000,  y= 0.000000, dist 4.460662, Mode: SingleBand, 
Velocity: x= -0.400000,  y= 0.000000, dist 4.533006, Mode: SingleBand, 
Velocity: x= -0.400000,  y= 0.000000, dist 4.569532, Mode: SingleBand, 
Velocity: x= -0.400000,  y= 0.000000, dist 4.639254, Mode: SingleBand, 
Velocity: x= -0.400000,  y= 0.000000, dist 4.676023, Mode: SingleBand, 
Velocity: x= -0.400000,  y= 0.000000, dist 4.718657, Mode: SingleBand, 
Velocity: x= -0.308133,  y= 0.000000, dist 4.754611, Mode: SingleBand, 
Velocity: x= -0.284063,  y= 0.000000, dist 4.754611, Mode: SingleBand, 
Velocity: x= -0.274877,  y= 0.000000, dist 4.808425, Mode: SingleBand, 
Velocity: x= -0.228032,  y= 0.000000, dist 4.874402, Mode: SingleBand, 
Velocity: x= -0.239349,  y= 0.000000, dist 4.876263, Mode: SingleBand, 
Velocity: x= -0.255160,  y= 0.000000, dist 4.895439, Mode: SingleBand, 
Velocity: x= -0.253872,  y= 0.000000, dist 4.919653, Mode: SingleBand, 
Velocity: x= -0.252016,  y= 0.000000, dist 4.967715, Mode: SingleBand, 
Velocity: x= -0.191890,  y= 0.000000, dist 4.967715, Mode: SingleBand, 
Velocity: x= 0.192670,  y= 0.000000, dist 5.009864, Mode: SingleBand, 
Velocity: x= 0.369238,  y= 0.000000, dist 4.988134, Mode: SingleBand, 
Velocity: x= 0.537632,  y= 0.000000, dist 4.901637, Mode: SingleBand, 
Velocity: x= 0.666178,  y= 0.000000, dist 4.850604, Mode: SingleBand, 
Velocity: x= 0.700000,  y= 0.000000, dist 4.788872, Mode: SingleBand, 
Velocity: x= 0.479964,  y= 0.000000, dist 4.730956, Mode: SingleBand, 
Velocity: x= 0.700000,  y= 0.000000, dist 4.620544, Mode: SingleBand, 
Velocity: x= 0.358467,  y= 0.000000, dist 4.560029, Mode: SingleBand, 
Velocity: x= 0.220625,  y= 0.000000, dist 4.528254, Mode: SingleBand, 
Velocity: x= 0.251212,  y= 0.000000, dist 4.508181, Mode: SingleBand, 
Velocity: x= 0.230798,  y= 0.000000, dist 4.446744, Mode: SingleBand, 
Velocity: x= 0.219257,  y= 0.000000, dist 4.427340, Mode: SingleBand, 
Velocity: x= 0.212603,  y= 0.000000, dist 4.408576, Mode: SingleBand, 
Velocity: x= 0.213763,  y= 0.000000, dist 4.406837, Mode: SingleBand, 
Velocity: x= -0.176783,  y= 0.000000, dist 4.392756, Mode: SingleBand, 
Velocity: x= -0.355323,  y= 0.000000, dist 4.408362, Mode: SingleBand, 
Velocity: x= -0.400000,  y= 0.000000, dist 4.457789, Mode: SingleBand, 
Velocity: x= -0.400000,  y= 0.000000, dist 4.526450, Mode: SingleBand, 
Velocity: x= -0.400000,  y= 0.000000, dist 4.566392, Mode: SingleBand, 
Velocity: x= -0.400000,  y= 0.000000, dist 4.601958, Mode: SingleBand, 
Velocity: x= -0.400000,  y= 0.000000, dist 4.638661, Mode: SingleBand, 
Velocity: x= 0.000000,  y= 0.000000, dist 4.713235, Mode: SingleBand, 
Velocity: x= 0.000000,  y= 0.000000, dist 4.713235, Mode: SingleBand, 
